"Permis_Numéro","Permis_Date_de_début","Permis_Date_de_fin","Gardien_Territoire_ex_villes","Animal_Type_de_permis","Animal_Nom","Animal_Catégorie_race_primaire_de_chiens","Animal_Race_primaire_des_chiens","Animal_Race_croisé_des_chiens","Animal_Sexe","Animal_Couleur","Animal_Date_de_naissance","Animal_Vaccination","Animal_Stérilisation","Animal_Poids_kg","Animal_Micropuce","Animal_Potentiellement_dangereux"
"164783","2019-03-18","2020-03-16","Laval-Ouest","Chien","Samy","Chiens nains","Terrier du Yorkshire","","Mâle","Noir","2015-01-14","0","1","4","1","0"
"170685","2019-05-06","2020-05-06","Vimont","Chien","Chouchoune","Chiens nains","Bichon maltais","Autre","Femelle","blanc","2014-02-01","0","1","6,35","1","0"
"177337","2019-07-07","2020-07-06","Auteuil","Chien","Lola","Chiens nains","chihuahua a poil long","","Femelle","","2005-02-14","0","1","18","1","0"
"61099","2019-04-05","2020-04-04","Auteuil","Chat","Tommy","","","","Mâle","Noir et blanc","2006-07-04","1","1","5","1","0"
"176713","2019-03-07","2020-03-07","Saint-François","Chien","Buddy","Chiens de travail","chien d'eau portugais","","Mâle","Noir","2008-09-03","0","1","15","0","0"
"177543","2019-12-12","2020-12-10","Duvernay","Chien","Niko","Chiens nains","Bichon maltais","Lhasa apso","Mâle","Blanc","2014-05-19","1","1","7","1","0"
"61764","2019-05-08","2020-05-08","Laval-des-Rapides","Chat","Joséphine","","","","Femelle","Grise","2000-05-30","0","0","0","0","0"
"174879","2019-11-08","2020-11-08","Saint-François","Chien","Pablo","Chiens nains","chihuahua a poil court","","Mâle","beige","0000-00-00","0","0","0","1","0"
"172927","2019-05-13","2020-05-12","Saint-Vincent-de-Paul","Chien","Simone","Chiens de travail","Bouvier bernois","retriever labrador","Femelle","noir et feu","2018-08-09","1","1","25","1","0"
"160396","2019-03-18","2020-03-16","Chomedey","Chien","Maggie","Chiens de sport","retriever doré","Autre","Femelle","Blonde","2012-04-13","1","1","35","1","0"
"170611","2019-10-11","2020-10-11","Chomedey","Chien","Chanel","Chiens nains","Terrier du Yorkshire","Autre","Femelle","brun noir","2013-09-06","1","1","3","0","0"
"173145","2019-05-27","2020-05-27","Duvernay","Chien","Albert","Chiens de travail","Bouvier bernois","Caniche moyen","Mâle","Noir","2012-05-14","0","1","80","0","0"
"67728","2019-08-16","2020-08-16","Duvernay","Chat","Mimi","","","Autre","Femelle","Blanc et beige","0000-00-00","0","0","0","0","0"
"173893","2019-08-16","2020-08-16","Saint-François","Chien","Sissi","Chiens nains","Caniche nain","Terrier du Yorkshire","Femelle","noir","2019-05-16","0","0","1","0","0"
"67592","2019-07-05","2020-07-04","Sainte-Dorothée","Chat","Monica","","","","Femelle","Noir","2016-01-01","0","1","2,5","0","0"
"174704","2019-10-24","2020-10-24","Laval-des-Rapides","Chien","Harry","Chiens nains","chihuahua a poil court","","Mâle","Noir","2012-03-27","0","1","1","1","0"
"174832","2019-11-05","2020-11-05","Pont-Viau","Chien","Lobo","Chiens de berger","Berger Allemand","","Mâle","Noir","2009-06-01","1","0","41","0","0"
"62991","2019-05-25","2020-05-23","Fabreville","Chat","Tiana","","","","Inconnu","Tricolore: gris brun blanc","2013-03-16","1","1","9","1","0"
"162677","2019-03-26","2020-03-24","Auteuil","Chien","Chanelle","Chiens de sport","retriever doré","Autre","Femelle","Rousse","2013-01-01","1","1","0","1","0"
"177671","2019-12-09","2020-12-09","Chomedey","Chien","Sisi","","Dachshound teckel a poil long","","Femelle","Arlequin","2018-05-30","1","1","5","1","0"
"67689","2019-05-13","2020-05-12","Fabreville","Chat","Cesar","","","Autre","Mâle","rayé gris","2014-12-01","0","1","5","0","0"
"170662","2019-09-05","2020-09-05","Fabreville","Chien","Caramel","Chiens de compagnie","Shih Tzu","","Mâle","caramel","2007-02-05","0","1","54","1","0"
"174015","2019-09-09","2020-09-09","Chomedey","Chien","Zoé ","Chiens nains","nain pinscher","Autre","Femelle","noir/caramel ","2019-03-09","0","1","0","1","0"
"163367","2019-05-28","2020-05-28","Chomedey","Chien","Copain","Chiens nains","Terrier du Yorkshire","Autre","Mâle","Caramel","2009-04-09","0","1","13,6","1","0"
"172509","2019-03-14","2020-03-12","Chomedey","Chien","Nyx","Chiens de sport","retriever labrador","","Femelle","noir","2010-10-14","0","1","22","1","0"
"177604","2019-11-29","2020-11-29","Laval-Ouest","Chien","Sisi","Chiens de travail","schnauzer standard","Bichon frisé","Inconnu","beige","2007-08-22","0","1","9","0","0"
"177328","2019-07-04","2020-07-04","Sainte-Rose","Chien","Théo","Chiens de sport","retriever doré","Caniche moyen","Mâle","Blond","2014-11-01","1","1","41","1","0"
"68412","2019-12-11","2020-12-11","Chomedey","Chat","Franka ","","","Autre","Femelle","Brun ","0000-00-00","0","0","0","0","0"
"64520","2019-10-09","2020-10-09","Auteuil","Chat","Youri","","","Autre","Mâle","Blue Point Siamois x Birman","2016-06-01","0","1","0","0","0"
"176184","2019-02-27","2020-02-27","Fabreville","Chien","Sybelle","Chiens de compagnie","Shih Tzu","Bichon maltais","Femelle","Blanche","2014-10-26","1","1","0","1","0"
"67180","2019-06-21","2020-06-20","Laval-des-Rapides","Chat","Joséphine","","","Autre","Mâle","Noir","2017-05-11","1","1","5","1","0"
"163909","2019-04-09","2020-04-09","Sainte-Dorothée","Chien","Rollo","Chiens de travail","Boxer","retriever labrador","Mâle","Bringé","2015-11-23","0","1","83","1","0"
"166818","2019-03-28","2020-03-28","Laval-Ouest","Chien","Cassy","Chiens nains","Bichon maltais","Autre","Inconnu","","2010-07-14","1","1","4,5","0","0"
"165231","2019-04-02","2020-04-02","Chomedey","Chien","Capitaine Charlot","Chiens de compagnie","Terrier de Boston","","Mâle","","2013-03-19","1","1","0","1","0"
"172855","2019-04-24","2020-04-24","Sainte-Rose","Chien","Léo","","Autre","Autre","Mâle","Caramel","0000-00-00","0","0","0","0","0"
"174046","2019-09-11","2020-09-11","Vimont","Chien","Chanel","Chiens de compagnie","Shih Tzu","","Femelle","Blanc","0000-00-00","1","1","0","1","0"
"174661","2019-10-28","2020-10-28","Sainte-Dorothée","Chien","Kami","Chiens nains","Terrier du Yorkshire","","Femelle","Noir feu","2007-10-06","1","1","2,87","0","0"
"68084","2019-11-15","2020-11-15","Laval-Ouest","Chat","Rosie","","","Autre","Femelle","Tigré gris ","2012-03-03","1","1","5","0","0"
"64545","2019-09-05","2020-09-05","Pont-Viau","Chat","Mila ","","","","Femelle","roux ","2013-12-01","0","1","3","1","0"
"162953","2019-01-24","2020-01-24","Fabreville","Chien","Guizmo","Chiens de compagnie","Shih Tzu","","Mâle","Noir et blanc","2008-03-13","0","1","7,2","1","0"
"176948","2019-06-10","2020-06-10","Chomedey","Chien","Fidel","Chiens de compagnie","Shih Tzu","Terrier du Yorkshire","Mâle","Brun et beige","2019-04-11","0","1","1","1","0"
"166295","2019-05-25","2020-05-23","Fabreville","Chien","Maggie","Chiens de travail","Boxer","","Femelle","beige","2010-09-04","0","1","31,75","1","0"
"67213","2019-02-07","2020-02-07","Saint-François","Chat","Minette","","","Autre","Femelle","Gris","2006-02-09","1","1","5","0","0"
"66949","2019-05-17","2020-05-17","Chomedey","Chat","No name / Sans nom","","","Autre","Mâle","Noir et blanc","2016-01-01","0","0","0","0","0"
"173420","2019-06-07","2020-06-05","Fabreville","Chien","Enzo","Chiens de travail","Husky sibérien","","Mâle","Blanc gris","2017-05-11","0","1","25","0","0"
"68023","2019-10-06","2020-10-06","Pont-Viau","Chat","Simba","","","Autre","Mâle","roux","2009-09-01","0","1","4,6","1","0"
"174058","2019-09-09","2020-09-07","Saint-François","Chien","Pretzel","Lévriers et chiens courants","Beagle","Autre","Mâle","tricolor","2015-08-17","1","1","10","1","0"
"174190","2019-09-26","2020-09-25","Sainte-Rose","Chien","Zoé","Chiens de travail","Boxer","Autre","Femelle","Fauve","2014-07-01","0","1","0","1","0"
"172750","2019-07-18","2020-07-18","Duvernay","Chien","Edi","Chiens de sport","retriever labrador","Autre","Mâle","Noir","2017-12-06","1","1","40","1","0"
"169027","2020-01-10","2021-01-10","Sainte-Dorothée","Chien","Layla","Indéterminé","Pitbull","","Femelle","chocolate","2017-06-12","0","1","7","1","0"
"62875","2019-03-19","2020-03-17","Fabreville","Chat","Moustache","","","","Femelle","calico","2011-07-01","0","1","0","0","0"
"177880","2020-01-06","2021-01-06","Fabreville","Chien","Tiga","Chiens de compagnie","Shih Tzu","Autre","Mâle","Blanc et noir","2015-09-10","1","1","6","0","0"
"65631","2019-12-11","2020-12-11","Saint-Vincent-de-Paul","Chat","Bébé","","","","Mâle","Gris et blanc","2009-09-07","1","1","6,4","1","0"
"68608","2020-01-09","2021-01-09","Sainte-Rose","Chat","Kiya","","","Autre","Femelle","Tigré noir et gris","2011-09-30","0","1","8","0","0"
"173972","2019-08-23","2020-08-23","Duvernay","Chien","Baby","Chiens nains","chihuahua a poil court","Autre","Femelle","brun","2011-01-01","1","1","1","0","0"
"68082","2019-11-15","2020-11-15","Vimont","Chat","Mishu","","","Autre","Femelle","Tabby","2007-04-10","0","1","4","0","0"
"161391","2019-05-27","2020-05-27","Chomedey","Chien","Gaston","Chiens nains","Terrier du Yorkshire","","Mâle","Noir et Beige","2007-01-01","0","1","4","0","0"
"67659","2019-05-22","2020-05-22","Fabreville","Chat","Fixie","","","","Femelle","Gris","2009-06-20","0","1","4","1","0"
"174761","2019-10-31","2020-10-31","Saint-François","Chien","Randy","Chiens nains","chihuahua a poil court","","Mâle","Blond","2019-06-04","1","1","1","1","0"
"66779","2019-03-20","2020-03-20","Fabreville","Chat","Nala","","","Autre","Inconnu","","0000-00-00","0","0","0","0","0"
